Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
GD McGrath,4,26,11,10,16,0,1,0
Mohammad Asif,4,43,12,9,16,18,3,1
VY Mahesh,4,33,11,7,20,6,4,3
PJ Sangwan,4,20,10,14,0,6,2,1
R Bhatia,2,22,5,4,0,18,0,1
V Sehwag,1,2,4,2,0,0,0,1
Shoaib Malik,1,6,3,2,4,0,0,1
