Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
PA Reddy,5,2,4,2,0,0,True,caught,A Chandila
S Dhawan,2,0,2,0,0,0,True,caught,JP Faulkner
KC Sangakkara,4,4,3,0,4,0,True,caught,JP Faulkner
GH Vihari,9,4,5,4,0,0,True,caught,KK Cooper
KV Sharma,8,6,6,2,4,0,True,caught,JP Faulkner
NLTC Perera,4,4,3,0,4,0,True,caught,A Chandila
DJG Sammy,40,60,17,22,32,6,True,lbw,JP Faulkner
A Mishra,28,21,20,13,8,0,True,caught,JP Faulkner
A Ashish Reddy,11,14,3,10,4,0,True,caught,STR Binny
DW Steyn,8,18,3,4,8,6,False,,
