Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
V Kohli,61,92,15,40,28,24,False,,
Q de Kock,11,19,5,5,8,6,True,bowled,MJ McClenaghan
AB de Villiers,2,1,1,1,0,0,True,caught,MJ McClenaghan
Mandeep Singh,13,16,5,12,4,0,True,stumped,KH Pandya
CJ Anderson,1,0,1,0,0,0,True,caught,KH Pandya
Washington Sundar,7,7,5,3,4,0,True,caught,KH Pandya
SN Khan,6,5,4,1,4,0,True,stumped,M Markande
CR Woakes,11,11,5,5,0,6,True,caught,JJ Bumrah
UT Yadav,2,1,1,1,0,0,True,caught,JJ Bumrah
Mohammed Siraj,3,8,0,2,0,6,False,,
