Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
KL Rahul,14,21,10,3,0,18,True,caught,UT Yadav
CH Gayle,14,18,8,2,16,0,True,caught,UT Yadav
KK Nair,3,1,2,1,0,0,True,caught,Mohammed Siraj
MP Stoinis,3,2,1,2,0,0,True,bowled,YS Chahal
AJ Finch,23,26,12,10,4,12,True,caught,MM Ali
MA Agarwal,6,2,4,2,0,0,True,caught,C de Grandhomme
AR Patel,12,9,5,9,0,0,False,,
R Ashwin,1,0,1,0,0,0,True,run out,
AJ Tye,3,0,3,0,0,0,True,caught,UT Yadav
MM Sharma,5,3,2,3,0,0,True,run out,
AS Rajpoot,5,1,4,1,0,0,True,run out,
