Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SV Samson,1,0,1,0,0,0,True,caught,MJ McClenaghan
KK Nair,14,21,8,3,12,6,True,caught,Harbhajan Singh
SS Iyer,6,3,3,3,0,0,True,caught,SL Malinga
RR Pant,3,0,3,0,0,0,True,caught,JJ Bumrah
CJ Anderson,8,10,4,2,8,0,True,caught,SL Malinga
MN Samuels,5,1,4,1,0,0,True,caught,KV Sharma
PJ Cummins,10,10,6,4,0,6,True,caught,Harbhajan Singh
K Rabada,5,0,5,0,0,0,True,caught,KV Sharma
A Mishra,13,9,7,9,0,0,False,,
Mohammed Shami,4,7,2,1,0,6,True,caught,Harbhajan Singh
Z Khan,11,2,9,2,0,0,True,caught,KV Sharma
