Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
JD Unadkat,4,24,10,12,0,12,0,1
Washington Sundar,4,16,13,10,0,6,0,3
LH Ferguson,3,16,15,6,4,6,6,1
SN Thakur,4,36,8,14,16,6,1,3
A Zampa,1,9,2,3,0,6,0,0
DT Christian,4,32,7,18,8,6,2,0
