Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
G Gambhir,11,8,5,8,0,0,True,run out,
V Sehwag,7,9,7,1,8,0,True,caught,B Lee
TM Dilshan,17,10,13,6,4,0,True,caught,S Sreesanth
AB de Villiers,11,11,7,7,4,0,True,caught,S Sreesanth
M Manhas,24,26,13,18,8,0,True,caught,WA Mota
KD Karthik,29,32,10,26,0,6,True,caught,IK Pathan
MF Maharoof,8,3,6,3,0,0,True,bowled,B Lee
DL Vettori,2,1,1,1,0,0,True,caught,IK Pathan
R Bhatia,1,0,1,0,0,0,True,caught,B Lee
PJ Sangwan,5,5,1,5,0,0,False,,
A Nehra,1,1,0,1,0,0,False,,
