Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
B Kumar,4,34,10,14,8,12,0,1
TA Boult,4,44,9,10,16,18,2,1
I Sharma,4,48,9,8,16,24,2,0
Bipul Sharma,2,13,7,3,4,6,0,2
MC Henriques,4,14,12,14,0,0,2,3
KV Sharma,2,20,3,8,0,12,1,0
