Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
STR Binny,2,15,2,11,4,0,1,0
YS Chahal,4,30,8,14,16,0,2,1
CJ Jordan,4,51,3,17,28,6,1,0
SR Watson,4,22,10,14,8,0,0,2
VR Aaron,3,25,6,11,8,6,0,0
Iqbal Abdulla,3,26,4,14,12,0,1,0
