Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
P Kumar,4,36,11,10,8,18,2,1
DW Steyn,4,27,11,13,8,6,1,1
B Kumar,4,20,11,16,4,0,2,1
RS Bopara,4,36,8,14,16,6,2,0
KV Sharma,2,25,2,7,0,18,0,0
A Ashish Reddy,2,14,5,8,0,6,2,1
