Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
RJ Harris,4,25,11,17,8,0,1,0
RP Singh,4,47,8,13,16,18,0,1
A Symonds,4,15,10,15,0,0,0,1
Jaskaran Singh,3,31,9,9,16,6,1,0
PP Ojha,4,32,8,14,12,6,0,2
TL Suman,1,18,1,6,0,12,0,0
