Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
RV Uthappa,2,0,2,0,0,0,True,caught,M Kartik
AJ Finch,15,18,9,2,16,0,True,caught,R Rampaul
Yuvraj Singh,14,16,6,8,8,0,True,caught,JD Unadkat
LJ Wright,3,7,2,1,0,6,True,caught,JD Unadkat
SPD Smith,31,41,11,17,24,0,True,caught,R Rampaul
MR Marsh,22,24,10,12,0,12,True,bowled,R Vinay Kumar
M Manhas,13,11,6,7,4,0,False,,
B Kumar,12,6,9,2,4,0,True,caught,RP Singh
AG Murtaza,4,5,2,1,4,0,True,stumped,CH Gayle
IC Pandey,2,0,2,0,0,0,True,bowled,CH Gayle
AB Dinda,1,1,0,1,0,0,False,,
