Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
TA Boult,4,25,10,17,8,0,2,0
B Kumar,4,22,18,10,12,0,5,3
DW Steyn,4,38,8,10,28,0,0,2
P Kumar,4,32,11,12,8,12,3,2
KV Sharma,4,30,5,16,8,6,0,1
