Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
GC Smith,21,25,14,5,20,0,True,caught,MF Maharoof
SA Asnodkar,21,39,7,9,24,6,True,caught,MF Maharoof
Sohail Tanvir,5,5,3,1,4,0,True,caught,MF Maharoof
SR Watson,29,52,9,18,16,18,True,stumped,A Mishra
M Kaif,11,12,5,6,0,6,True,bowled,A Mishra
YK Pathan,20,45,5,9,12,24,True,run out,
RA Jadeja,5,7,3,1,0,6,True,caught,VY Mahesh
SK Warne,1,0,1,0,0,0,True,caught,VY Mahesh
M Rawat,4,2,2,2,0,0,True,caught and bowled,Mohammad Asif
SK Trivedi,2,1,1,1,0,0,False,,
