Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
DS Kulkarni,4,22,13,12,4,6,2,2
KW Richardson,4,23,12,19,4,0,4,2
JP Faulkner,3,22,5,14,8,0,8,0
PV Tambe,4,22,9,16,0,6,1,0
R Bhatia,4,22,7,18,4,0,0,2
STR Binny,1,7,2,3,4,0,0,0
