Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AC Gilchrist,1,0,1,0,0,0,True,run out,
PC Valthaty,16,21,9,5,16,0,True,caught,CH Gayle
AM Nayar,4,1,3,1,0,0,True,caught,S Aravind
SE Marsh,8,4,4,4,0,0,True,caught and bowled,S Aravind
KD Karthik,15,20,4,8,12,0,True,lbw,CH Gayle
Sunny Singh,5,4,2,4,0,0,True,caught,DL Vettori
R McLaren,32,28,9,24,4,0,True,bowled,S Aravind
PP Chawla,6,5,1,5,0,0,True,bowled,CH Gayle
RJ Harris,24,17,12,13,4,0,True,caught,S Aravind
P Kumar,7,15,4,1,8,6,False,,
L Ablish,2,0,2,0,0,0,False,,
