Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
MM Patel,4,36,12,8,16,12,0,1
SR Watson,4,38,12,6,32,0,1,0
SK Trivedi,4,25,12,11,8,6,0,2
SK Warne,4,19,11,13,0,6,0,3
D Salunkhe,2,19,7,5,8,6,3,1
Pankaj Singh,1,12,0,4,8,0,0,0
YK Pathan,1,13,3,1,0,12,0,0
