Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
M Vijay,34,38,16,20,12,6,True,caught,JJ Bumrah
SR Watson,4,8,2,0,8,0,True,caught,SL Malinga
SK Raina,4,2,2,2,0,0,True,caught,HH Pandya
AT Rayudu,3,0,3,0,0,0,True,bowled,KH Pandya
KM Jadhav,11,6,6,6,0,0,True,bowled,KH Pandya
DR Shorey,8,5,6,5,0,0,True,caught,AS Roy
DJ Bravo,17,20,4,12,8,0,True,caught and bowled,SL Malinga
MJ Santner,19,22,9,10,0,12,True,caught,SL Malinga
DL Chahar,2,0,3,0,0,0,True,caught,JJ Bumrah
Harbhajan Singh,3,1,2,1,0,0,True,caught,SL Malinga
