Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
DL Chahar,4,45,8,15,24,6,1,1
Harbhajan Singh,4,23,13,11,0,12,0,0
Imran Tahir,4,37,6,13,12,12,1,1
DJ Bravo,4,33,9,15,12,6,2,0
MJ Santner,4,13,15,9,4,0,0,2
