Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
BB McCullum,4,0,4,0,0,0,True,caught,DW Steyn
PA Patel,3,0,3,0,0,0,True,caught,I Sharma
DPMD Jayawardene,7,4,7,0,4,0,True,caught,I Sharma
RV Gomez,1,0,1,0,0,0,True,bowled,I Sharma
BJ Hodge,2,0,3,0,0,0,True,bowled,I Sharma
KM Jadhav,2,0,2,0,0,0,True,lbw,I Sharma
RA Jadeja,34,23,19,15,8,0,True,caught,A Mishra
NLTC Perera,23,22,16,6,16,0,True,caught,MS Gony
R Vinay Kumar,19,18,7,10,8,0,True,bowled,DW Steyn
S Sreesanth,1,0,1,0,0,0,False,,
RP Singh,1,0,1,0,0,0,True,bowled,DW Steyn
