Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MEK Hussey,15,16,7,8,8,0,True,caught,JA Morkel
AP Tare,16,17,12,9,8,0,True,caught,VR Aaron
AT Rayudu,36,35,9,31,4,0,True,caught,MA Starc
RG Sharma,5,2,3,2,0,0,True,caught,YS Chahal
KA Pollard,7,3,4,3,0,0,True,caught,YS Chahal
CJ Anderson,19,18,9,10,8,0,True,caught,MA Starc
Harbhajan Singh,8,8,4,4,4,0,True,bowled,VR Aaron
Z Khan,2,0,2,0,0,0,True,caught,AB Dinda
SL Malinga,4,2,2,2,0,0,True,run out,
PP Ojha,3,1,4,1,0,0,False,,
JJ Bumrah,1,1,0,1,0,0,False,,
