Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
R Ashwin,4,16,16,10,0,6,1,2
MM Sharma,2,19,3,7,12,0,0,0
A Nehra,3,45,3,11,16,18,0,0
RA Jadeja,4,27,5,19,8,0,0,0
P Negi,4,34,12,10,0,24,1,0
DJ Bravo,3,16,2,12,4,0,0,1
