Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
F du Plessis,2,3,2,3,0,0,True,run out,
M Vijay,17,10,11,6,4,0,True,caught,JEC Franklin
SK Raina,26,36,8,22,8,6,True,caught,PP Ojha
DJ Bravo,18,19,9,7,12,0,True,caught,PP Ojha
JA Morkel,7,3,6,3,0,0,True,caught,KA Pollard
S Badrinath,16,10,7,10,0,0,True,caught,KA Pollard
MS Dhoni,6,4,2,4,0,0,True,run out,
RA Jadeja,5,3,2,3,0,0,True,bowled,SL Malinga
R Ashwin,5,3,2,3,0,0,True,run out,
SB Jakati,10,6,4,6,0,0,False,,
DE Bollinger,5,3,2,3,0,0,True,caught,SL Malinga
