Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DA Warner,4,1,3,1,0,0,True,bowled,MM Sharma
V Sehwag,13,17,9,7,4,6,True,caught,MM Sharma
MC Juneja,3,2,2,2,0,0,True,lbw,MM Sharma
DPMD Jayawardene,11,6,9,2,4,0,True,lbw,CH Morris
KM Jadhav,28,31,8,19,12,0,True,caught,JA Morkel
BMAJ Mendis,17,12,6,12,0,0,True,run out,
IK Pathan,6,2,4,2,0,0,True,caught,RA Jadeja
AB Agarkar,7,3,4,3,0,0,True,caught,R Ashwin
M Morkel,4,2,2,2,0,0,True,bowled,R Ashwin
S Nadeem,7,2,6,2,0,0,False,,
UT Yadav,5,1,4,1,0,0,True,caught,DJ Bravo
