Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
Shivam Mavi,4,32,10,12,8,12,1,1
M Prasidh Krishna,4,53,8,13,16,24,3,0
AD Russell,1,9,3,1,8,0,0,0
SP Narine,4,24,7,16,8,0,0,1
PP Chawla,3,22,8,6,16,0,1,1
Kuldeep Yadav,4,29,7,15,8,6,0,2
