Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DA Warner,5,6,2,2,4,0,True,caught,MJ McClenaghan
S Dhawan,2,1,1,1,0,0,True,bowled,SL Malinga
EJG Morgan,14,9,10,5,4,0,True,caught,MJ McClenaghan
MC Henriques,18,11,12,7,4,0,True,stumped,J Suchith
KL Rahul,24,25,10,17,8,0,True,bowled,Harbhajan Singh
NV Ojha,1,0,1,0,0,0,True,caught,J Suchith
KV Sharma,21,15,7,15,0,0,True,caught,SL Malinga
A Ashish Reddy,15,17,6,11,0,6,True,caught,KA Pollard
B Kumar,2,0,2,0,0,0,True,caught,MJ McClenaghan
P Kumar,5,4,2,4,0,0,True,run out,
DW Steyn,11,19,2,7,12,0,False,,
