Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DR Smith,26,68,8,14,24,30,True,caught,RA Jadeja
AP Tare,7,7,4,3,4,0,True,caught,JA Morkel
KD Karthik,18,11,10,7,4,0,True,lbw,RA Jadeja
RG Sharma,15,8,8,8,0,0,True,caught,CH Morris
KA Pollard,15,24,5,8,4,12,True,caught,RA Jadeja
AT Rayudu,13,15,3,11,4,0,True,caught,MM Sharma
Harbhajan Singh,4,0,4,0,0,0,True,caught,DJ Bravo
MG Johnson,7,6,2,6,0,0,True,caught,DJ Bravo
SL Malinga,2,0,2,0,0,0,True,caught,DJ Bravo
PP Ojha,2,0,2,0,0,0,True,caught,MM Sharma
