Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
Sandeep Sharma,4,28,10,12,16,0,2,2
MM Sharma,4,35,4,17,12,6,0,0
VR Aaron,4,43,6,17,20,6,1,0
AR Patel,3,29,1,17,0,12,0,0
GJ Maxwell,2,21,3,7,8,6,0,1
T Natarajan,3,30,6,12,12,6,3,1
