Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
PP Shaw,6,5,5,1,4,0,True,lbw,DL Chahar
S Dhawan,14,18,5,6,12,0,True,caught,Harbhajan Singh
C Munro,24,27,10,11,16,0,True,caught,RA Jadeja
SS Iyer,17,13,8,9,4,0,True,caught,Imran Tahir
RR Pant,24,38,2,24,8,6,True,caught,DL Chahar
AR Patel,6,3,3,3,0,0,True,caught,DJ Bravo
SE Rutherford,11,10,7,4,0,6,True,caught,Harbhajan Singh
KMA Paul,7,3,5,3,0,0,True,bowled,DJ Bravo
A Mishra,3,6,1,2,4,0,False,,
TA Boult,3,6,2,0,0,6,True,bowled,RA Jadeja
I Sharma,3,10,1,0,4,6,False,,
