Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
Mandeep Singh,9,9,5,5,4,0,True,caught,DP Nannes
AC Gilchrist,6,9,3,1,8,0,True,caught,DP Nannes
M Vohra,11,16,5,4,12,0,True,caught,RA Jadeja
DJ Hussey,36,41,13,19,16,6,True,caught,R Ashwin
Gurkeerat Singh,23,31,11,19,12,0,True,caught,DJ Bravo
Azhar Mahmood,7,8,1,8,0,0,True,caught,CH Morris
R Sathish,6,8,2,4,4,0,True,caught,DJ Bravo
PP Chawla,5,4,4,0,4,0,True,caught,DJ Bravo
RJ Harris,2,0,2,0,0,0,True,caught,CH Morris
P Kumar,4,3,2,3,0,0,True,run out,
P Awana,5,1,4,1,0,0,False,,
