Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SR Tendulkar,11,11,7,3,8,0,True,run out,
DR Smith,22,38,12,6,20,12,True,caught,SB Jakati
RG Sharma,18,14,7,14,0,0,True,caught,JA Morkel
KD Karthik,4,6,1,2,4,0,True,caught,JA Morkel
JEC Franklin,12,13,5,7,0,6,True,caught,DJ Bravo
AT Rayudu,6,11,3,3,8,0,True,caught,R Ashwin
KA Pollard,17,16,12,6,4,6,True,caught,DJ Bravo
Harbhajan Singh,4,1,3,1,0,0,True,caught,BW Hilfenhaus
SL Malinga,15,17,8,7,4,6,True,bowled,RA Jadeja
DS Kulkarni,5,10,1,2,8,0,False,,
RP Singh,1,1,0,1,0,0,False,,
