Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
YK Pathan,4,19,14,9,4,6,0,1
B Lee,4,33,9,11,16,6,1,0
SP Narine,4,11,13,11,0,0,0,1
JH Kallis,4,29,13,9,20,0,4,2
R Bhatia,3,41,5,7,4,30,0,1
LR Shukla,1,5,4,1,4,0,0,1
