Year,Total,Matches,Average
2019,19400,60,161.66666666666666
2018,19901,60,165.84166666666667
2017,18769,59,159.0593220338983
2016,18862,60,157.18333333333334
2015,18332,59,155.35593220338984
2014,18909,60,157.575
2013,22541,76,148.29605263157896
2012,22453,74,151.70945945945945
2011,21154,73,144.8904109589041
2010,18864,60,157.2
2009,16320,57,143.1578947368421
2008,17937,58,154.6293103448276
