,Year,0-6,6-12,12-16,16-20,Avg.0-6,Avg.6-12,Avg.12-16,Avg.16-20,Str.0-6,Str.6-12,Str.12-16,Str.16-20,Matches
0,2019,153,157,141,230,1.275,1.3083333333333333,1.175,1.9166666666666667,28.23529411764706,27.515923566878982,23.829787234042552,14.608695652173912,60
0,2018,174,175,158,215,1.45,1.4583333333333333,1.3166666666666667,1.7916666666666667,24.82758620689655,24.685714285714287,21.265822784810126,15.627906976744185,60
0,2017,182,165,138,224,1.5423728813559323,1.3983050847457628,1.1694915254237288,1.8983050847457628,23.34065934065934,25.745454545454546,23.942028985507246,14.75,59
0,2016,160,165,126,215,1.3333333333333333,1.375,1.05,1.7916666666666667,27.0,26.181818181818183,26.666666666666664,15.627906976744185,60
0,2015,171,164,128,224,1.4491525423728813,1.3898305084745763,1.0847457627118644,1.8983050847457628,24.842105263157897,25.902439024390244,25.8125,14.75,59
0,2014,163,160,139,210,1.3583333333333334,1.3333333333333333,1.1583333333333334,1.75,26.503067484662576,27.0,24.172661870503596,16.0,60
0,2013,215,223,174,298,1.4144736842105263,1.4671052631578947,1.144736842105263,1.9605263157894737,25.451162790697673,24.53811659192825,24.459770114942533,14.281879194630873,76
0,2012,196,204,165,293,1.3243243243243243,1.3783783783783783,1.114864864864865,1.9797297297297298,27.183673469387756,26.117647058823533,25.115151515151513,14.14334470989761,74
0,2011,210,187,168,248,1.4383561643835616,1.2808219178082192,1.1506849315068493,1.6986301369863013,25.02857142857143,28.106951871657753,24.333333333333336,16.483870967741936,73
0,2010,177,189,135,221,1.475,1.575,1.125,1.8416666666666666,24.406779661016948,22.857142857142858,24.88888888888889,15.203619909502263,60
0,2009,187,163,137,210,1.6403508771929824,1.4298245614035088,1.2017543859649122,1.8421052631578947,21.946524064171122,25.177914110429448,23.2992700729927,15.200000000000001,57
0,2008,177,155,144,214,1.5258620689655173,1.3362068965517242,1.2413793103448276,1.8448275862068966,23.59322033898305,26.941935483870967,22.555555555555554,15.177570093457943,58
