Year,Total,Matches,Average
2019,677,60,5.641666666666667
2018,721,60,6.008333333333334
2017,707,59,5.991525423728813
2016,666,60,5.55
2015,685,59,5.805084745762712
2014,671,60,5.591666666666667
2013,902,76,5.934210526315789
2012,855,74,5.777027027027027
2011,809,73,5.541095890410959
2010,718,60,5.983333333333333
2009,689,57,6.043859649122807
2008,687,58,5.922413793103448
