Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AM Rahane,20,27,6,11,16,0,True,bowled,R Ashwin
JC Buttler,43,69,17,17,40,12,True,run out,
SV Samson,25,30,4,24,0,6,True,caught,SM Curran
SPD Smith,13,20,7,10,4,6,True,caught,SM Curran
RA Tripathi,4,1,4,1,0,0,True,caught,Mujeeb Ur Rahman
BA Stokes,2,6,1,0,0,6,True,caught,Mujeeb Ur Rahman
K Gowtham,4,3,2,3,0,0,True,caught,AS Rajpoot
JC Archer,2,2,1,2,0,0,True,run out,
JD Unadkat,2,1,1,1,0,0,True,caught and bowled,AS Rajpoot
S Gopal,1,1,0,1,0,0,False,,
DS Kulkarni,3,5,1,1,4,0,False,,
