Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
Salman Butt,7,7,5,3,4,0,True,bowled,Sohail Tanvir
SC Ganguly,38,51,16,23,16,12,True,caught,SK Warne
AB Agarkar,13,20,9,4,4,12,True,caught,SR Watson
BJ Hodge,3,1,2,1,0,0,True,run out,
DJ Hussey,29,42,7,26,4,12,True,bowled,SK Trivedi
LR Shukla,2,2,0,2,0,0,True,run out,
DB Das,11,11,6,7,4,0,True,caught,Sohail Tanvir
WP Saha,2,1,1,1,0,0,True,bowled,SK Trivedi
Umar Gul,2,2,0,2,0,0,True,run out,
AB Dinda,2,1,2,1,0,0,True,caught,SR Watson
I Sharma,1,1,0,1,0,0,False,,
