Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DR Smith,47,57,23,15,36,6,True,lbw,Harbhajan Singh
MEK Hussey,8,4,9,0,4,0,True,caught,MJ McClenaghan
SK Raina,18,28,8,10,12,6,True,stumped,Harbhajan Singh
MS Dhoni,13,18,5,8,4,6,True,bowled,SL Malinga
DJ Bravo,6,9,3,3,0,6,True,caught,MJ McClenaghan
P Negi,4,3,3,3,0,0,True,caught,SL Malinga
F du Plessis,3,1,2,1,0,0,True,caught,R Vinay Kumar
RA Jadeja,8,11,0,7,4,0,False,,
R Ashwin,4,2,2,2,0,0,True,caught,MJ McClenaghan
MM Sharma,7,21,1,5,4,12,False,,
