Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
LMP Simmons,14,15,10,3,12,0,True,caught,DJ Muthuswami
PA Patel,19,28,11,6,16,6,True,caught,AD Mathews
UBT Chand,11,14,7,6,8,0,True,stumped,A Mishra
RG Sharma,24,30,7,18,0,12,True,caught,NM Coulter-Nile
KA Pollard,8,10,4,4,0,6,True,caught,A Mishra
AT Rayudu,21,30,8,12,12,6,True,caught,Imran Tahir
HH Pandya,1,0,1,0,0,0,True,caught,Imran Tahir
MJ McClenaghan,1,0,1,0,0,0,True,caught,Imran Tahir
SL Malinga,9,6,8,2,4,0,False,,
Harbhajan Singh,10,9,7,3,0,6,True,caught,AD Mathews
