Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AC Gilchrist,12,7,9,3,4,0,True,lbw,SMSM Senanayake
Mandeep Singh,29,41,9,17,24,0,True,caught,JH Kallis
M Vohra,16,17,6,9,8,0,True,caught and bowled,L Balaji
DJ Hussey,14,12,5,12,0,0,True,caught,SP Narine
DA Miller,17,20,3,16,4,0,True,bowled,SMSM Senanayake
Azhar Mahmood,1,0,1,0,0,0,True,caught and bowled,SP Narine
Gurkeerat Singh,1,0,1,0,0,0,True,bowled,SP Narine
MS Gony,18,42,6,8,16,18,True,bowled,JH Kallis
PP Chawla,7,11,4,3,8,0,False,,
P Kumar,2,1,1,1,0,0,True,caught,JH Kallis
