Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AC Gilchrist,19,35,10,5,12,18,True,caught,DJ Bravo
HH Gibbs,42,58,17,22,24,12,True,run out,
DR Smith,22,35,8,15,8,12,True,bowled,ST Jayasuriya
RG Sharma,4,3,2,3,0,0,True,caught,DJ Bravo
VVS Laxman,1,0,1,0,0,0,True,caught,DJ Bravo
Y Venugopal Rao,10,9,4,9,0,0,True,bowled,SL Malinga
DB Ravi Teja,8,9,3,5,4,0,True,lbw,SL Malinga
RP Singh,4,4,1,4,0,0,True,caught,Harbhajan Singh
FH Edwards,3,1,2,1,0,0,True,bowled,SL Malinga
PP Ojha,1,0,2,0,0,0,False,,
