Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
GJ Bailey,12,15,6,3,12,0,True,run out,
PA Patel,23,32,8,10,16,6,True,bowled,RR Powar
SK Raina,21,20,8,12,8,0,True,caught,WA Mota
S Badrinath,8,4,6,4,0,0,True,caught,S Sreesanth
MS Dhoni,2,2,1,2,0,0,True,bowled,S Sreesanth
JDP Oram,20,17,9,13,4,0,True,caught and bowled,IK Pathan
MS Gony,5,7,3,1,0,6,True,bowled,PP Chawla
R Ashwin,15,8,10,4,4,0,True,caught,IK Pathan
L Balaji,4,2,4,2,0,0,False,,
T Thushara,5,1,4,1,0,0,True,run out,
M Muralitharan,1,1,0,1,0,0,False,,
