Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
PA Patel,44,70,13,28,36,6,True,caught,JP Faulkner
JC Buttler,7,9,4,1,8,0,True,run out,
N Rana,16,19,6,9,4,6,True,lbw,Ankit Soni
RG Sharma,13,5,8,5,0,0,True,caught,JP Faulkner
KA Pollard,11,15,2,7,8,0,True,caught,Basil Thampi
KH Pandya,20,29,5,15,8,6,True,run out,
HH Pandya,5,4,1,4,0,0,True,caught,Basil Thampi
Harbhajan Singh,1,0,1,0,0,0,True,lbw,Basil Thampi
MJ McClenaghan,1,1,0,1,0,0,True,run out,
JJ Bumrah,1,0,1,0,0,0,True,run out,
SL Malinga,1,0,1,0,0,0,False,,
