Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MD Mishra,4,4,3,0,4,0,True,lbw,Z Khan
MK Pandey,2,0,2,0,0,0,True,bowled,Z Khan
MJ Clarke,10,13,4,5,8,0,True,caught,R Vinay Kumar
RV Uthappa,23,38,9,12,20,6,True,stumped,M Muralitharan
AP Majumdar,25,31,9,15,16,0,True,caught,HV Patel
AD Mathews,10,4,6,4,0,0,True,stumped,KP Appanna
SPD Smith,24,24,7,20,4,0,False,,
B Kumar,4,2,2,2,0,0,True,bowled,M Muralitharan
AC Thomas,6,7,2,3,4,0,True,bowled,R Vinay Kumar
R Sharma,1,0,2,0,0,0,True,bowled,R Vinay Kumar
K Upadhyay,8,11,3,5,0,6,False,,
