Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
K Upadhyay,4,33,10,9,12,12,0,0
AC Thomas,4,44,7,16,16,12,2,0
B Kumar,4,39,11,11,4,24,5,0
AD Mathews,3,13,10,9,4,0,1,1
R Sharma,4,30,9,12,12,6,1,1
MJ Clarke,1,5,4,1,4,0,0,0
