Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CA Lynn,4,0,5,0,0,0,True,lbw,DL Chahar
SP Narine,5,6,3,6,0,0,True,caught,Harbhajan Singh
RV Uthappa,9,11,4,3,8,0,True,caught,DL Chahar
N Rana,3,0,4,0,0,0,True,caught,DL Chahar
KD Karthik,21,19,13,7,12,0,True,caught,Imran Tahir
Shubman Gill,12,9,5,9,0,0,True,stumped,Imran Tahir
AD Russell,44,50,27,12,20,18,False,,
PP Chawla,13,8,10,2,0,6,True,stumped,Harbhajan Singh
Kuldeep Yadav,1,0,1,0,0,0,True,run out,
M Prasidh Krishna,2,0,2,0,0,0,True,caught,RA Jadeja
HF Gurney,5,1,4,1,0,0,False,,
