Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
RE Levi,2,0,2,0,0,0,True,stumped,M Kartik
RG Sharma,6,1,5,1,0,0,True,caught,AB Dinda
AT Rayudu,2,1,1,1,0,0,True,caught,AB Dinda
JEC Franklin,41,32,22,22,4,6,True,caught,AB Dinda
KD Karthik,32,32,19,10,16,6,True,stumped,M Kartik
SA Yadav,4,0,4,0,0,0,True,bowled,MN Samuels
KA Pollard,11,8,4,8,0,0,True,bowled,R Sharma
Harbhajan Singh,15,16,6,8,8,0,True,lbw,AB Dinda
SL Malinga,3,5,1,1,4,0,True,caught,WD Parnell
PP Ojha,1,0,1,0,0,0,False,,
MM Patel,2,1,1,1,0,0,False,,
