Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
BJ Hodge,2,0,2,0,0,0,True,caught,JA Morkel
SC Ganguly,19,11,14,7,4,0,True,caught,JM Kemp
MK Tiwary,3,8,1,0,8,0,True,bowled,MS Gony
WP Saha,12,22,7,2,20,0,True,bowled,L Balaji
OA Shah,4,5,2,1,4,0,True,caught,L Balaji
AD Mathews,12,6,8,6,0,0,True,lbw,JM Kemp
LR Shukla,15,19,6,7,12,0,True,caught,M Muralitharan
RS Gavaskar,8,2,6,2,0,0,True,caught,JM Kemp
SE Bond,2,1,1,1,0,0,True,bowled,R Ashwin
M Kartik,20,21,8,13,8,0,True,run out,
I Sharma,15,6,9,6,0,0,False,,
