Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MA Agarwal,33,27,17,17,4,6,True,stumped,Iqbal Abdulla
SS Iyer,1,0,2,0,0,0,True,lbw,MA Starc
JP Duminy,13,13,9,5,8,0,True,caught,D Wiese
Yuvraj Singh,5,2,4,2,0,0,True,caught,VR Aaron
AD Mathews,1,0,1,0,0,0,True,caught,VR Aaron
KM Jadhav,29,33,12,17,16,0,True,caught,HV Patel
NM Coulter-Nile,8,4,7,0,4,0,True,lbw,D Wiese
A Mishra,4,2,2,2,0,0,True,bowled,MA Starc
S Nadeem,7,2,5,2,0,0,True,bowled,MA Starc
Imran Tahir,4,3,1,3,0,0,False,,
DJ Muthuswami,3,1,2,1,0,0,True,run out,
