Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DA Warner,34,40,13,18,16,6,True,caught,BA Stokes
S Dhawan,12,19,5,5,8,6,True,bowled,BA Stokes
KS Williamson,2,4,1,0,4,0,True,caught,BA Stokes
Yuvraj Singh,43,47,22,19,16,12,True,caught,JD Unadkat
MC Henriques,6,4,3,4,0,0,True,bowled,Imran Tahir
NV Ojha,9,9,5,3,0,6,True,caught,JD Unadkat
Bipul Sharma,7,8,3,8,0,0,True,caught,JD Unadkat
Rashid Khan,4,3,2,3,0,0,True,caught and bowled,JD Unadkat
B Kumar,1,0,1,0,0,0,True,caught,JD Unadkat
S Kaul,2,0,2,0,0,0,False,,
