Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
FY Fazal,14,16,9,4,12,0,True,lbw,RP Singh
R Dravid,4,1,3,1,0,0,True,caught,S Sreesanth
AM Rahane,9,8,5,4,4,0,True,lbw,S Sreesanth
SR Watson,13,20,8,2,0,18,True,bowled,P Parameswaran
AL Menaria,28,31,16,13,12,6,True,caught,BJ Hodge
PR Shah,5,5,3,1,4,0,True,caught,BJ Hodge
JDP Oram,3,0,3,0,0,0,True,bowled,BJ Hodge
SK Warne,9,2,7,2,0,0,True,bowled,BJ Hodge
AA Chavan,3,1,2,1,0,0,True,run out,
SW Tait,9,10,2,6,4,0,False,,
ND Doshi,13,0,13,0,0,0,True,caught,P Parameswaran
