Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
SR Watson,9,6,6,2,4,0,True,caught,R Rampaul
AM Rahane,13,14,10,0,8,6,True,caught,JD Unadkat
R Dravid,31,35,13,15,20,0,True,caught,M Kartik
STR Binny,20,33,6,11,16,6,True,caught,R Vinay Kumar
BJ Hodge,17,13,7,9,4,0,True,caught,R Vinay Kumar
DH Yagnik,4,5,2,1,4,0,True,caught,RP Singh
JP Faulkner,7,3,5,3,0,0,True,caught,RP Singh
A Chandila,6,4,2,4,0,0,False,,
S Sreesanth,2,0,2,0,0,0,True,lbw,R Vinay Kumar
SW Tait,3,1,2,1,0,0,True,bowled,RP Singh
SK Trivedi,6,3,4,3,0,0,True,caught,R Rampaul
