Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
JA Morkel,4,12,17,8,4,0,1,2
S Tyagi,2,20,6,4,16,0,2,1
L Balaji,4,31,8,15,4,12,1,1
SB Jakati,4,25,8,15,4,6,0,0
M Muralitharan,4,24,14,6,12,6,0,1
JDP Oram,2,12,3,8,4,0,4,2
