Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
MS Bisla,18,17,12,5,12,0,True,stumped,PP Ojha
G Gambhir,2,0,2,0,0,0,True,bowled,MG Johnson
JH Kallis,26,24,13,10,8,6,True,caught,Harbhajan Singh
YK Pathan,8,13,3,3,4,6,True,bowled,PP Ojha
EJG Morgan,8,5,5,5,0,0,True,caught,AN Ahmed
DB Das,17,23,10,3,8,12,True,caught and bowled,Harbhajan Singh
R McLaren,3,1,2,1,0,0,True,run out,
Iqbal Abdulla,10,6,5,6,0,0,False,,
R Bhatia,5,4,2,4,0,0,True,caught,Harbhajan Singh
SP Narine,5,3,3,3,0,0,True,caught,MG Johnson
L Balaji,3,0,3,0,0,0,True,bowled,SL Malinga
