Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
AM Rahane,12,13,7,5,8,0,True,caught,S Kaul
DJM Short,4,4,4,0,4,0,True,run out,
SV Samson,41,49,15,29,20,0,True,caught,Shakib Al Hasan
BA Stokes,8,5,4,5,0,0,True,caught,B Stanlake
RA Tripathi,15,17,4,9,8,0,True,caught,Shakib Al Hasan
JC Buttler,9,6,3,6,0,0,True,bowled,Rashid Khan
K Gowtham,2,0,2,0,0,0,True,caught,S Kaul
S Gopal,17,18,10,10,8,0,True,caught,B Kumar
DS Kulkarni,4,3,1,3,0,0,False,,
JD Unadkat,2,1,1,1,0,0,True,run out,
B Laughlin,3,1,2,1,0,0,False,,
