Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
MJ McClenaghan,2,24,2,6,12,6,0,0
SL Malinga,4,45,7,17,4,24,2,0
JJ Bumrah,4,19,15,7,12,0,2,3
HH Pandya,3,37,6,5,20,12,1,0
KH Pandya,4,28,5,18,4,6,0,0
M Markande,3,23,6,9,8,6,0,1
