Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
CH Gayle,10,8,7,4,4,0,True,caught,AJ Tye
V Kohli,12,10,10,4,0,6,True,caught,Basil Thampi
AB de Villiers,10,5,7,5,0,0,True,run out,
TM Head,1,0,1,0,0,0,True,caught,AJ Tye
KM Jadhav,18,31,5,9,16,6,True,bowled,RA Jadeja
Mandeep Singh,13,8,6,8,0,0,True,caught,AJ Tye
P Negi,19,32,7,8,12,12,True,caught,Ankit Soni
S Badree,3,3,1,3,0,0,True,caught,RA Jadeja
S Aravind,14,9,8,9,0,0,True,caught,JP Faulkner
A Choudhary,12,15,1,11,4,0,False,,
YS Chahal,2,1,1,1,0,0,True,run out,
