Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
JD Ryder,5,2,4,2,0,0,True,caught,IK Pathan
R Bishnoi,14,18,9,2,4,12,True,caught,YA Abdulla
SP Goswami,14,10,7,10,0,0,True,caught,YA Abdulla
JH Kallis,21,27,11,11,16,0,True,bowled,Yuvraj Singh
RV Uthappa,17,19,6,11,8,0,True,caught,Yuvraj Singh
V Kohli,14,16,4,8,8,0,True,caught,IK Pathan
MV Boucher,4,2,2,2,0,0,True,lbw,Yuvraj Singh
RE van der Merwe,19,35,8,5,12,18,True,caught,YA Abdulla
P Kumar,7,9,3,5,4,0,False,,
A Kumble,3,1,3,1,0,0,True,bowled,YA Abdulla
KP Appanna,0,0,1,0,0,0,False,,
