Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
JD Ryder,9,15,5,5,4,6,True,bowled,R Ashwin
MD Mishra,9,9,5,5,4,0,True,bowled,JA Morkel
MK Pandey,9,12,4,4,8,0,True,bowled,JA Morkel
RV Uthappa,3,0,4,0,0,0,True,bowled,R Ashwin
Yuvraj Singh,43,34,19,26,8,0,True,caught,JA Morkel
M Manhas,23,20,11,14,0,6,True,caught,DE Bollinger
NL McCullum,16,15,5,15,0,0,True,caught,DE Bollinger
R Sharma,1,1,0,1,0,0,True,run out,
JE Taylor,1,2,1,2,0,0,True,run out,
M Kartik,1,1,1,1,0,0,False,,
AC Thomas,2,1,1,1,0,0,False,,
