Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
DPMD Jayawardene,12,11,9,1,4,6,True,lbw,I Sharma
V Sehwag,17,8,10,8,0,0,True,bowled,DJG Sammy
UBT Chand,22,17,17,5,12,0,True,bowled,DW Steyn
DA Warner,14,8,8,8,0,0,True,stumped,A Mishra
BMAJ Mendis,9,11,1,11,0,0,True,caught,DJG Sammy
KM Jadhav,4,3,2,3,0,0,True,caught and bowled,KV Sharma
IK Pathan,19,13,9,13,0,0,True,bowled,DW Steyn
J Botha,7,1,6,1,0,0,True,caught,NLTC Perera
S Nadeem,3,0,3,0,0,0,True,run out,
UT Yadav,5,2,4,2,0,0,False,,
A Nehra,1,0,1,0,0,0,True,bowled,NLTC Perera
