Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
B Lee,4,30,9,14,16,0,0,1
L Balaji,3,26,6,10,16,0,1,0
Iqbal Abdulla,4,34,7,22,12,0,1,2
R Bhatia,4,26,7,16,4,6,0,2
YK Pathan,3,18,5,14,4,0,1,0
JH Kallis,2,11,4,11,0,0,1,1
