Name,Balls,Runs,Dot,Other,4,6,Extras,Wicket
DL Chahar,2,18,3,6,12,0,0,0
JD Unadkat,4,18,12,14,4,0,2,1
LH Ferguson,4,6,19,6,0,0,2,2
DT Christian,4,25,10,17,8,0,0,1
Imran Tahir,4,18,12,12,0,6,0,3
Washington Sundar,2,7,5,7,0,0,0,1
