Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
TM Head,5,2,3,2,0,0,True,bowled,JD Unadkat
V Kohli,48,55,15,33,16,6,True,caught,DT Christian
AB de Villiers,7,3,5,3,0,0,True,caught,LH Ferguson
KM Jadhav,12,7,9,3,4,0,True,run out,
Sachin Baby,4,2,2,2,0,0,True,caught,Washington Sundar
STR Binny,7,1,6,1,0,0,True,caught,LH Ferguson
P Negi,6,3,4,3,0,0,True,caught,Imran Tahir
AF Milne,8,5,4,5,0,0,True,caught,Imran Tahir
S Badree,7,2,6,2,0,0,True,bowled,Imran Tahir
S Aravind,5,8,1,4,4,0,False,,
YS Chahal,9,4,6,4,0,0,False,,
