Name,Balls,Runs,Dot,Other,4,6,out,out_type,bowler
JD Ryder,15,12,11,4,8,0,True,caught,AN Ahmed
TD Paine,8,2,7,2,0,0,True,bowled,MM Patel
M Manhas,1,0,1,0,0,0,True,caught,AN Ahmed
RV Uthappa,33,45,16,15,24,6,True,caught,AG Murtaza
Yuvraj Singh,2,0,2,0,0,0,True,caught,MM Patel
MD Mishra,9,12,5,4,8,0,True,caught,AG Murtaza
M Kartik,12,11,5,7,4,0,True,caught,SL Malinga
WD Parnell,8,9,3,5,4,0,True,bowled,JEC Franklin
R Sharma,9,13,4,3,4,6,True,caught,MM Patel
SB Wagh,2,2,1,2,0,0,True,caught,SL Malinga
AC Thomas,2,0,2,0,0,0,False,,
